Intro,StimFileLeft,StimFileRight,N1,N2,Distance,MagnitudeN2,Correct,Ratio,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,NumTraining.thisRepN,NumTraining.thisTrialN,NumTraining.thisN,NumTraining.thisIndex,CompExp.thisRepN,CompExp.thisTrialN,CompExp.thisN,CompExp.thisIndex,thisRow.t,notes,Instruction_Pages.started,InstructionPage.started,InstructionResponse.started,Instruction_Pages.stopped,InstructionResponse.keys,InstructionResponse.rt,InstructionResponse.duration,NumProc.started,Fix.started,blank2.started,Fix.stopped,blank2.stopped,DotsLeft.started,DotRight.started,targetResp.started,NumProc.stopped,targetResp.keys,targetResp.corr,targetResp.rt,targetResp.duration,feedbackNum.started,FBnum.started,feedbackNum.stopped,FBnum.stopped,InstructionExpNum.started,StartExp.started,InstructionExpResp.started,InstructionExpNum.stopped,InstructionExpResp.keys,InstructionExpResp.rt,InstructionExpResp.duration,ThisIsTheEnd.started,TheEnd.started,TheEnd.stopped,ThisIsTheEnd.stopped,Do NOT enter your name here:,participant,session,How old are you?,M o F,date,expName,psychopyVersion,frameRate,expStart,
,TCS_DotComp_StimImages/1_24_3.bmp,TCS_DotComp_StimImages/1_32_3.bmp,32,24,far,smaller,l,0.75,,,,,0,5,5,5,,,,,17.756554399995366,,,,,,,,,17.718379199999617,17.756554399995366,18.23295340000186,18.268126800001482,18.733526600000914,18.733526600000914,18.733526600000914,18.733526600000914,19.31852760000038,s,0,0.5838501999969594,None,19.319304799995734,19.33279020000191,20.317099099993357,20.35908219999692,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_24_1.bmp,TCS_DotComp_StimImages/1_32_1.bmp,32,24,far,smaller,l,0.75,,,,,0,6,6,4,,,,,20.35908219999692,,,,,,,,,20.31794949999312,20.35908219999692,20.832505400001537,20.865953999993508,21.333104799996363,21.333104799996363,21.333104799996363,21.333104799996363,21.883284499999718,l,1,0.5351035000057891,None,21.88408819999313,21.89927969999553,22.883594700004323,22.924604600004386,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_16_4.bmp,TCS_DotComp_StimImages/1_12_4.bmp,16,12,far,smaller,s,0.75,,,,,0,7,7,1,,,,,22.924604600004386,,,,,,,,,22.884479300002567,22.924604600004386,23.3995983999921,23.432436200004304,23.89970729999186,23.89970729999186,23.89970729999186,23.89970729999186,24.784126300000935,s,1,0.8744475999992574,None,24.785170000002836,24.799369000000297,25.782881899998756,25.800184299994726,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.783082800000557,25.800184299994726,25.800184299994726,27.850946299993666,space,2.03769640000246,None,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_32_4.bmp,TCS_DotComp_StimImages/1_24_4.bmp,32,24,far,smaller,s,0.75,,,,,,,,,0,0,0,11,27.90977230000135,,,,,,,,,27.867784300004132,27.90977230000135,28.36600819999876,28.415698099997826,28.86611709999852,28.86611709999852,28.86611709999852,28.86611709999852,29.433811499999138,s,1,0.5564802000008058,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_18_3.bmp,TCS_DotComp_StimImages/1_16_3.bmp,16,18,close,larger,s,1.13,,,,,,,,,0,1,1,34,29.474923999994644,,,,,,,,,29.435807699992438,29.474923999994644,29.948900299990783,29.98225509999611,30.449399999997695,30.449399999997695,30.449399999997695,30.449399999997695,31.416897399991285,l,0,0.9609367000084603,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_14_5.bmp,TCS_DotComp_StimImages/2_16_5.bmp,16,14,close,smaller,l,0.88,,,,,,,,,0,2,2,20,31.457844000004116,,,,,,,,,31.418206400005147,31.457844000004116,31.932384300002013,31.96577480000269,32.43301249999786,32.43301249999786,32.43301249999786,32.43301249999786,33.56672580000304,l,1,1.124753399999463,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_16_2.bmp,TCS_DotComp_StimImages/1_14_2.bmp,16,14,close,smaller,s,0.88,,,,,,,,,0,3,3,17,33.59398499999952,,,,,,,,,33.56781449999835,33.59398499999952,34.08234459999949,34.09876789999544,34.5830191999994,34.5830191999994,34.5830191999994,34.5830191999994,35.23390759999165,s,1,0.6357008000049973,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_36_5.bmp,TCS_DotComp_StimImages/2_32_5.bmp,32,36,close,larger,s,1.13,,,,,,,,,0,4,4,44,35.26289220000035,,,,,,,,,35.23549659999844,35.26289220000035,35.7487867000018,35.765520200002356,36.2494241999957,36.2494241999957,36.2494241999957,36.2494241999957,36.91678089999186,l,0,0.652788600011263,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_32_8.bmp,TCS_DotComp_StimImages/2_28_8.bmp,32,28,close,smaller,s,0.88,,,,,,,,,0,5,5,31,36.95625590000418,,,,,,,,,36.91814819999854,36.95625590000418,37.432279200002085,37.46594239999831,37.93320450000465,37.93320450000465,37.93320450000465,37.93320450000465,39.117603799997596,l,0,1.1828684999927646,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_18_5.bmp,TCS_DotComp_StimImages/2_16_5.bmp,16,18,close,larger,s,1.13,,,,,,,,,0,6,6,36,39.145833399990806,,,,,,,,,39.1189091999986,39.145833399990806,39.63216009999451,39.64866140000231,40.13269850000506,40.13269850000506,40.13269850000506,40.13269850000506,40.784885400003986,s,1,0.650044699999853,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_18_3.bmp,TCS_DotComp_StimImages/1_16_3.bmp,16,20,far,larger,s,1.25,,,,,,,,,0,7,7,50,40.798748400004115,,,,,,,,,40.78640080000332,40.798748400004115,41.29869549999421,41.29869549999421,41.799305799999274,41.799305799999274,41.799305799999274,41.799305799999274,42.38397759999498,l,0,0.5826205000048503,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_32_4.bmp,TCS_DotComp_StimImages/1_40_4.bmp,32,40,far,larger,l,1.25,,,,,,,,,0,8,8,59,42.41093769999861,,,,,,,,,42.38523410000198,42.41093769999861,42.8982604000048,42.915653499992914,43.399327999999514,43.399327999999514,43.399327999999514,43.399327999999514,43.96655620000092,l,1,0.5565436000033515,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_28_3.bmp,TCS_DotComp_StimImages/1_32_3.bmp,32,28,close,smaller,l,0.88,,,,,,,,,0,9,9,26,43.99342149999575,,,,,,,,,43.96767579999869,43.99342149999575,44.48207779999939,44.49820200000249,44.982446099995286,44.982446099995286,44.982446099995286,44.982446099995286,45.882766900002025,s,0,0.8854200999921886,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_28_5.bmp,TCS_DotComp_StimImages/2_32_5.bmp,32,28,close,smaller,l,0.88,,,,,,,,,0,10,10,28,45.90682219999144,,,,,,,,,45.88409609999508,45.90682219999144,46.39863100000366,46.41555619999417,46.89904079999542,46.89904079999542,46.89904079999542,46.89904079999542,47.58268130000215,l,1,0.6747020000038901,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_16_2.bmp,TCS_DotComp_StimImages/1_12_2.bmp,16,12,far,smaller,s,0.75,,,,,,,,,0,11,11,1,47.598143700000946,,,,,,,,,47.58389039999747,47.598143700000946,48.08204739999201,48.0985992999922,48.58200100000249,48.59898329999123,48.59898329999123,48.59898329999123,49.28358709999884,s,1,0.6757917999930214,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_32_8.bmp,TCS_DotComp_StimImages/2_24_8.bmp,32,24,far,smaller,s,0.75,,,,,,,,,0,12,12,15,49.33613749999495,,,,,,,,,49.28521429999091,49.33613749999495,49.79803360000369,49.84893920000468,50.29887499999313,50.29887499999313,50.29887499999313,50.29887499999313,51.549689899999066,l,0,1.2442580000060843,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
